Título,Enlace,CVs inscritos,Ubicación,Funciones,Jornada,Experiencia,Tipo contrato,Salario Mínimo,Salario Máximo
UrgenteDeveloper .Net,https://www.tecnoempleo.com/developer-net-hibrido/net-angularjs-typescript-c-sql-javascript-gitlab-ken/rf-cf491fe4429cc3baaf42,1,Córdoba (Híbrido),Desarrollador Web,Jornada completa,3-5 años,Indefinido,30000,36000
UrgenteNext.js Developer Senior - Remoto España,https://www.tecnoempleo.com/nextjs-developer-senior-remoto-espana-remoto/next-javascript-react-html-cs/rf-91e311fd12ee43116d45,31,100% En remoto,Desarrollador Web,Jornada completa,3-5 años,Indefinido,39000,42000
UrgenteSenior Angular Developer,https://www.tecnoempleo.com/senior-angular-developer-remoto/angular-typescript-tdd-jasmine-karma/rf-52f01441c26a734e7040,67,100% En remoto,Analista Programador,Jornada completa,Más de 5 años,Indefinido,39000,48000
UrgenteAdministrador Big Data (Cloudera),https://www.tecnoempleo.com/administrador-big-data-cloudera-remoto/cloudera-linux/rf-2333147a4285e3e9ff44,20,100% En remoto,Administrador,Jornada completa,3-5 años,Indefinido,,
UrgenteSoftware Embedded Engineer,https://www.tecnoempleo.com/software-embedded-engineer-hibrido/c-c-microcontroladores/rf-aa40172eb2a97336b946,37,Barcelona (Híbrido),Programador,Jornada completa,3 años,Indefinido,42000,48000
UrgenteAnalista Informático/a,https://www.tecnoempleo.com/analista-informatico-a-bizkaia/devsecops-data-layer-cloud-oracle-microserv/rf-d92b1522e248833e1c41,49,"Elorrio -  
											
											Bizkaia											
											 - España",Analista,Jornada completa,Más de 5 años,Indefinido,,
UrgenteTécnico SAT y Puesta en Marcha,https://www.tecnoempleo.com/tecnico-sat-puesta-en-marcha-hibrido/plc-office/rf-e40e1fb1b24693ea8f44,14,Barcelona (Híbrido),Ingenieros/Industria,Jornada completa,3 años,Indefinido,30000,39000
UrgenteCloud native JUNIOR,https://www.tecnoempleo.com/cloud-native-junior-hibrido/terraform-aws-eks-git/rf-528412ee42bbb3c20d43,22,Madrid (Híbrido),DevOps,Jornada completa,1 año,Indefinido,18000,24000
UrgenteIngeniero/a experto en Wonderware Remoto,https://www.tecnoempleo.com/ingeniero-experto-en-wonderware-remoto-remoto/wonderware-plc-hmi-iec-61850/rf-9da614afb2d4839b6e4c,0,100% En remoto,Electrónica,Jornada completa,Más de 5 años,Indefinido,45000,48000
UrgenteIngeniero/a Mecánico (Sec. Ferroviario),https://www.tecnoempleo.com/ingeniero-mecanico-sec-ferroviario-presencial/solidworks-psd-3d/rf-b15e15206255a360e74f,13,Barcelona (Presencial),Ingenieros/Industria,Media jornada,Más de 5 años,Indefinido,30000,36000
Consultor/a Microsoft Teletrabajo,https://www.tecnoempleo.com/consultor-microsoft-teletrabajo-hibrido/microsoft-directorio-activo-azure/rf-ac4a1c23229a83c37f4b,4,Madrid (Híbrido),Analista Programador,Jornada completa,2 años,Indefinido,30000,42000
Administrador/a AKAMAI,https://www.tecnoempleo.com/administrador-akamai-remoto/akamai-imperva-f5/rf-a2e81ae1326e83b91449,0,100% En remoto,Ciberseguridad,Jornada completa,1 año,Indefinido,,
Ingeniero/a de Desarrollo JavaScript,https://www.tecnoempleo.com/ingeniero-desarrollo-javascript-remoto/javascript-typescript-html5-css/rf-a3cf1d327219b3209741,4,100% En remoto,Desarrollador Web,Jornada completa,Más de 5 años,Indefinido,,
Systems Security Specialist,https://www.tecnoempleo.com/systems-security-specialist-remoto/ciberseguridad-aws-saas-paas-google/rf-fe67158da22273a26547,2,100% En remoto,Ciberseguridad,Jornada completa,3 años,Indefinido,30000,42000
Project Manager,https://www.tecnoempleo.com/project-manager-bizkaia/project-manager/rf-a2fb1c6ef2cc83a33540,1,"Bilbao -  
											
											Bizkaia											
											 - España",Ingenieros/Industria,Jornada completa,3 años,Indefinido,,
